Number Parties,Number RBs,Number Slices,2p_protocol_i Time (s),2p_protocol_i Single Party Data (MB),2p_protocol_i Global Data (MB),2p_protocol_i Rounds
2,275,2,0.001573,0.00018,0.002712,20
2,275,3,0.001358,0.000344,0.00344,20
2,275,4,0.001536,0.0004,0.004112,20
2,275,5,0.001652,0.00072,0.005472,20
2,275,6,0.001822,0.000932,0.006728,20
2,275,7,0.001488,0.001284,0.008472,20
2,275,8,0.001437,0.001528,0.010112,20
2,275,9,0.001488,0.002044,0.014536,20
2,275,10,0.001597,0.002444,0.016808,20
2,275,11,0.0017,0.002984,0.019568,20
2,275,12,0.001604,0.003424,0.024272,20
2,275,13,0.001489,0.004136,0.027648,22
2,275,14,0.001752,0.004732,0.032984,22
2,275,15,0.001946,0.00546,0.036712,22
2,275,16,0.001795,0.00608,0.040384,22
2,275,17,0.001777,0.006972,0.046792,22
2,275,18,0.00173,0.007772,0.053224,24
2,275,19,0.001956,0.008688,0.057968,24
2,275,20,0.001986,0.009504,0.064752,24
2,275,21,0.001984,0.010576,0.07008,24
2,275,22,0.00258,0.011564,0.077528,26
2,275,23,0.002329,0.012676,0.085336,26
2,275,24,0.001986,0.013672,0.090944,26
2,275,25,0.002132,0.01494,0.099384,26
2,275,26,0.002221,0.016116,0.107656,28
2,275,27,0.002677,0.017416,0.116624,28
2,275,28,0.001978,0.018608,0.1252,28
2,275,29,0.002844,0.02008,0.134688,30
2,275,30,0.002524,0.021428,0.144184,30
2,275,31,0.002988,0.022854,0.1539,30