Number Parties,Number RBs,Number Slices,2p_protocol_iii Time (s),2p_protocol_iii Single Party Data (MB),2p_protocol_iii Global Data (MB),2p_protocol_iii Rounds
2,275,2,0.404336,0.354248,1.93467,14849
2,275,3,0.627458,0.469556,2.41285,22204
2,275,4,0.814666,0.575416,2.78675,28987
2,275,5,0.99753,0.70974,3.25819,36346
2,275,6,1.27821,0.816168,3.92568,43132
2,275,7,1.37476,0.923068,4.32603,49919
2,275,8,1.5117,1.02972,4.82158,56708
2,275,9,1.859,1.21116,5.38722,64076
2,275,10,2.00282,1.31842,6.07754,70872
2,275,11,2.03671,1.42612,6.4379,77667
2,275,12,2.1613,1.5336,7.09002,84465
2,275,13,2.39026,1.64191,7.46333,91266
2,275,14,2.61207,1.74997,7.83075,98067
2,275,15,2.78565,1.85848,8.19736,104870
2,275,16,2.99228,1.96677,8.474,111677
2,275,17,3.1149,2.26042,9.94621,119061
2,275,18,3.29037,2.3693,10.6214,125874
2,275,19,3.43627,2.47864,10.9741,132687
2,275,20,3.64504,2.58774,11.8007,139501
2,275,21,3.80192,2.69766,12.1548,146318
2,275,22,3.97052,2.80735,12.5105,153137
2,275,23,4.22205,2.9175,12.8596,159956
2,275,24,4.28658,3.0274,13.2139,166779
2,275,25,4.4887,3.13836,13.5726,173604
2,275,26,4.67903,3.24886,13.9303,180432
2,275,27,4.80445,3.35984,14.6107,187262
2,275,28,5.11162,3.47056,15.4491,194094
2,275,29,5.32027,3.5821,15.8018,200925
2,275,30,5.52474,3.69341,16.1615,207760
2,275,31,5.61892,3.80502,16.5297,214599